Date: 11-07 at 23:11:17, #particle: 15, iter: 118, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1332.24, max: 1486.90
Date: 11-07 at 23:12:24, #particle: 15, iter: 119, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1293.94, max: 1389.38
Date: 11-07 at 23:13:30, #particle: 15, iter: 120, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1264.31, max: 1387.64
Date: 11-07 at 23:14:42, #particle: 15, iter: 122, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1482.14, max: 1955.80
Date: 11-07 at 23:15:48, #particle: 15, iter: 123, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1332.07, max: 1483.09
Date: 11-07 at 23:16:51, #particle: 15, iter: 124, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1342.56, max: 1528.28
Date: 11-07 at 23:17:57, #particle: 15, iter: 125, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1339.22, max: 1521.94
Date: 11-07 at 23:19:07, #particle: 15, iter: 127, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1497.62, max: 1833.36
Date: 11-07 at 23:20:15, #particle: 15, iter: 128, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1334.63, max: 1553.19
Date: 11-07 at 23:21:26, #particle: 15, iter: 129, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1294.25, max: 1444.89
Date: 11-07 at 23:22:32, #particle: 15, iter: 130, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1269.42, max: 1343.18
Date: 11-07 at 23:23:39, #particle: 15, iter: 132, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1594.06, max: 1916.50
Date: 11-07 at 23:24:47, #particle: 15, iter: 133, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1437.02, max: 1929.32
Date: 11-07 at 23:25:51, #particle: 15, iter: 134, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1357.80, max: 1857.12
Date: 11-07 at 23:26:58, #particle: 15, iter: 135, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1335.61, max: 1799.50
Date: 11-07 at 23:28:07, #particle: 15, iter: 137, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1577.59, max: 1867.10
Date: 11-07 at 23:29:10, #particle: 15, iter: 138, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1416.00, max: 1777.60
Date: 11-07 at 23:30:20, #particle: 15, iter: 139, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1303.32, max: 1611.04
Date: 11-07 at 23:31:26, #particle: 15, iter: 140, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1280.33, max: 1419.86
Date: 11-07 at 23:32:33, #particle: 15, iter: 142, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1531.62, max: 1885.40
Date: 11-07 at 23:33:41, #particle: 15, iter: 143, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1390.49, max: 1792.48
Date: 11-07 at 23:34:48, #particle: 15, iter: 144, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1304.41, max: 1483.31
Date: 11-07 at 23:35:57, #particle: 15, iter: 145, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1285.60, max: 1440.25
Date: 11-07 at 23:37:08, #particle: 15, iter: 147, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1494.99, max: 1951.29
Date: 11-07 at 23:38:09, #particle: 15, iter: 148, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1435.93, max: 1978.26
Date: 11-07 at 23:39:12, #particle: 15, iter: 149, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1349.20, max: 1473.65
Date: 11-07 at 23:40:21, #particle: 15, iter: 150, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1278.75, max: 1386.32
