Date: 07-20 at 16:49:43, #particle: 10, iter: 158, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1728.07, max: 1823.74
Date: 07-20 at 16:50:27, #particle: 10, iter: 160, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1760.83, max: 1891.67
Date: 07-20 at 16:51:11, #particle: 10, iter: 161, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1720.12, max: 1936.43
Date: 07-20 at 16:51:56, #particle: 10, iter: 162, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1694.89, max: 1737.58
Date: 07-20 at 16:52:43, #particle: 10, iter: 163, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1692.39, max: 1740.62
Date: 07-20 at 16:53:27, #particle: 10, iter: 165, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1741.80, max: 1883.19
Date: 07-20 at 16:54:08, #particle: 10, iter: 166, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1709.10, max: 1848.15
Date: 07-20 at 16:54:53, #particle: 10, iter: 168, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 2176.80, max: 2854.41
Date: 07-20 at 16:55:41, #particle: 10, iter: 169, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1761.10, max: 1868.65
Date: 07-20 at 16:56:27, #particle: 10, iter: 171, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1794.63, max: 1940.69
Date: 07-20 at 16:57:05, #particle: 10, iter: 172, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1820.24, max: 1976.31
Date: 07-20 at 16:57:48, #particle: 10, iter: 173, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1781.24, max: 1990.27
Date: 07-20 at 16:58:33, #particle: 10, iter: 174, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1745.51, max: 2036.69
Date: 07-20 at 16:59:21, #particle: 10, iter: 176, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1762.86, max: 1913.53
Date: 07-20 at 17:00:02, #particle: 10, iter: 177, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1778.35, max: 1953.72
Date: 07-20 at 17:00:45, #particle: 10, iter: 178, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1738.20, max: 1938.70
Date: 07-20 at 17:01:30, #particle: 10, iter: 179, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1705.94, max: 1768.89
Date: 07-20 at 17:02:13, #particle: 10, iter: 181, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1773.58, max: 1908.73
Date: 07-20 at 17:02:59, #particle: 10, iter: 182, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1699.69, max: 1769.00
