Date: 09-17 at 18:33:12, #particle: 15, iter: 81, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1313.38, max: 1750.09
Date: 09-17 at 18:34:15, #particle: 15, iter: 82, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1157.59, max: 1740.21
Date: 09-17 at 18:35:20, #particle: 15, iter: 83, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1056.40, max: 1203.93
Date: 09-17 at 18:36:19, #particle: 15, iter: 85, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1190.18, max: 1465.24
Date: 09-17 at 18:37:17, #particle: 15, iter: 86, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1223.70, max: 1524.77
Date: 09-17 at 18:38:14, #particle: 15, iter: 87, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1256.47, max: 1577.56
Date: 09-17 at 18:39:19, #particle: 15, iter: 89, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 2812.59, max: 3644.30
Date: 09-17 at 18:40:28, #particle: 15, iter: 91, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1462.03, max: 1835.44
Date: 09-17 at 18:41:21, #particle: 15, iter: 92, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1416.69, max: 1842.97
Date: 09-17 at 18:42:22, #particle: 15, iter: 93, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1200.65, max: 1576.63
Date: 09-17 at 18:43:17, #particle: 15, iter: 94, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1213.76, max: 1536.04
Date: 09-17 at 18:44:13, #particle: 15, iter: 96, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1298.06, max: 1563.84
Date: 09-17 at 18:45:11, #particle: 15, iter: 97, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1279.37, max: 1614.15
Date: 09-17 at 18:46:15, #particle: 15, iter: 98, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1083.69, max: 1218.58
Date: 09-17 at 18:47:19, #particle: 15, iter: 99, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1020.64, max: 1137.88
Date: 09-17 at 18:48:22, #particle: 15, iter: 102, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 2931.55, max: 3876.69
Date: 09-17 at 18:49:22, #particle: 15, iter: 103, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 2228.92, max: 3582.25
Date: 09-17 at 18:50:23, #particle: 15, iter: 104, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 2056.12, max: 2911.21
Date: 09-17 at 18:51:30, #particle: 15, iter: 105, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1205.14, max: 1498.73
Date: 09-17 at 18:52:29, #particle: 15, iter: 107, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1314.69, max: 1549.16
Date: 09-17 at 18:53:24, #particle: 15, iter: 108, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1323.44, max: 1609.19
Date: 09-17 at 18:54:26, #particle: 15, iter: 109, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1227.43, max: 1582.57
Date: 09-17 at 18:55:29, #particle: 15, iter: 110, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1135.25, max: 1565.61
Date: 09-17 at 18:56:37, #particle: 15, iter: 112, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1307.10, max: 1679.28
Date: 09-17 at 18:57:36, #particle: 15, iter: 114, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 2935.43, max: 3652.34
Date: 09-17 at 18:58:42, #particle: 15, iter: 115, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1255.84, max: 1364.62
Date: 09-17 at 18:59:37, #particle: 15, iter: 116, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1206.03, max: 1312.34
Date: 09-17 at 19:00:32, #particle: 15, iter: 118, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1364.96, max: 1646.69
Date: 09-17 at 19:01:37, #particle: 15, iter: 119, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1312.25, max: 1675.95
